date,arabica_close,robusta_close,arabica_robusta_ratio,arabica_minus_robusta
2024-07-01,236.52045454545453,3385.5,0.06986278379721002,-3148.9795454545456
2024-08-01,240.9409090909091,3652.6363636363635,0.06596356305532741,-3411.6954545454546
2024-09-01,256.425,4143.55,0.06188533986557421,-3887.125
2024-10-01,252.72391304347823,4011.8260869565215,0.06299473296341251,-3759.1021739130433
2024-11-01,277.9525,4280.6,0.06493307013035556,-4002.6475000000005
2024-12-01,321.0404761904762,4549.714285714285,0.07056277735912252,-4228.673809523809
2025-01-01,336.3285714285714,4730.619047619048,0.07109610138610672,-4394.2904761904765
2025-02-01,395.41315789473686,5216.315789473684,0.07580314801735445,-4820.902631578947
2025-03-01,388.48571428571427,5074.047619047619,0.07656327718079864,-4685.561904761905
2025-04-01,373.9166666666667,4908.476190476191,0.07617774888919071,-4534.559523809524
2025-05-01,371.5547619047619,4732.238095238095,0.07851565251516951,-4360.683333333333
2025-06-01,332.805,3932.1,0.08463797970550088,-3599.295
2025-07-01,295.12954545454545,3289.181818181818,0.08972734308062243,-2994.052272727273
2025-08-01,333.9214285714286,3881.8571428571427,0.08602105030729033,-3547.9357142857143
2025-09-01,379.0595238095238,4262.476190476191,0.0889294172848333,-3883.416666666667
2025-10-01,392.2717391304348,4422.95652173913,0.08868993787354515,-4030.684782608695
2025-11-01,381.82631578947365,4431.105263157895,0.08616954306279767,-4049.2789473684215
2025-12-01,360.0022727272727,3978.0,0.09049830888066182,-3617.9977272727274
2026-01-01,356.325,4028.65,0.0884477430404726,-3672.3250000000003
